City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
329,Murray Bridge,AU,-35.1167,139.2667,55.13,62,76,10.42,broken clouds
330,Kushiro,JP,42.975,144.3747,35.73,75,98,5.19,overcast clouds
331,Cayeli,TR,41.0923,40.7292,53.37,87,100,1.48,overcast clouds
332,Lorengau,PG,-2.0226,147.2712,82.17,70,68,7.49,broken clouds
333,Palasa,IN,18.7667,84.4167,70.27,61,21,3.13,few clouds
334,Nhulunbuy,AU,-12.2333,136.7667,84.81,74,90,6.91,overcast clouds
335,Sinfra,CI,6.6167,-5.9167,92.35,37,23,0.4,few clouds
336,Lapugiu De Jos,RO,45.8833,22.4833,42.13,68,100,3.94,overcast clouds
337,Tsovazard,AM,40.4709,45.0588,40.59,68,94,13.24,overcast clouds
338,Blagoyevo,RU,63.3667,47.9167,2.39,97,77,2.71,broken clouds
339,Saint-Paul,RE,-21.0096,55.2707,83.62,63,27,3.4,scattered clouds
340,Egvekinot,RU,66.3167,-179.1667,-7.29,91,65,5.59,broken clouds
341,Birjand,IR,32.8663,59.2211,66.29,22,0,6.26,clear sky
342,Akdepe,TM,42.0551,59.3788,48.11,32,22,15.37,few clouds
343,Ternate,ID,0.8,127.4,81.82,77,62,7.31,broken clouds
